Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Høyeste middelvind (døgn)
Bodø Vi;SN82290;01.01.2023;2,6;15,4
Bodø Vi;SN82290;02.01.2023;1,3;15,6
Bodø Vi;SN82290;03.01.2023;-2,4;6,7
Bodø Vi;SN82290;04.01.2023;-2,9;13,7
Bodø Vi;SN82290;05.01.2023;-3,8;13,5
Bodø Vi;SN82290;06.01.2023;-5,1;16,7
Bodø Vi;SN82290;07.01.2023;-2,6;15
Bodø Vi;SN82290;08.01.2023;0,1;19
Bodø Vi;SN82290;09.01.2023;0,8;15,1
Bodø Vi;SN82290;10.01.2023;2,2;12,2
Bodø Vi;SN82290;11.01.2023;1,2;14,9
Bodø Vi;SN82290;12.01.2023;2,7;9,7
Bodø Vi;SN82290;13.01.2023;2,2;4,8
Bodø Vi;SN82290;14.01.2023;0,1;8,5
Bodø Vi;SN82290;15.01.2023;-1,8;13,6
Bodø Vi;SN82290;16.01.2023;-1,2;8,4
Bodø Vi;SN82290;17.01.2023;1,4;11,9
Bodø Vi;SN82290;18.01.2023;1,1;16,1
Bodø Vi;SN82290;19.01.2023;0,3;10,2
Bodø Vi;SN82290;20.01.2023;2,2;9,9
Bodø Vi;SN82290;21.01.2023;3,3;11,8
Bodø Vi;SN82290;22.01.2023;5,3;7,5
Bodø Vi;SN82290;23.01.2023;4,8;18,3
Bodø Vi;SN82290;24.01.2023;3,1;11,2
Bodø Vi;SN82290;25.01.2023;4,1;14,7
Bodø Vi;SN82290;26.01.2023;1,3;7
Bodø Vi;SN82290;27.01.2023;4,2;14,5
Bodø Vi;SN82290;28.01.2023;1,9;16,6
Bodø Vi;SN82290;29.01.2023;1,5;11,1
Bodø Vi;SN82290;30.01.2023;-0,1;9,8
Bodø Vi;SN82290;31.01.2023;-0,8;6,4
Bodø Vi;SN82290;01.02.2023;-2,8;4,3
Bodø Vi;SN82290;02.02.2023;-4,2;6,7
Bodø Vi;SN82290;03.02.2023;-5,6;8
Bodø Vi;SN82290;04.02.2023;-1,5;8,9
Bodø Vi;SN82290;05.02.2023;2,9;10,4
Bodø Vi;SN82290;06.02.2023;5,9;12,1
Bodø Vi;SN82290;07.02.2023;5,9;16,8
Bodø Vi;SN82290;08.02.2023;7;17,5
Bodø Vi;SN82290;09.02.2023;0,9;16,2
Bodø Vi;SN82290;10.02.2023;-0,8;10,9
Bodø Vi;SN82290;11.02.2023;0,3;9,7
Bodø Vi;SN82290;12.02.2023;4,7;16,9
Bodø Vi;SN82290;13.02.2023;4;15,7
Bodø Vi;SN82290;14.02.2023;6,1;12,1
Bodø Vi;SN82290;15.02.2023;4,9;6,7
Bodø Vi;SN82290;16.02.2023;5,1;15,5
Bodø Vi;SN82290;17.02.2023;1,9;8,9
Bodø Vi;SN82290;18.02.2023;1,2;8
Bodø Vi;SN82290;19.02.2023;-0,2;5,4
Bodø Vi;SN82290;20.02.2023;-1,7;10,8
Bodø Vi;SN82290;21.02.2023;-3,6;7,5
Bodø Vi;SN82290;22.02.2023;-1,9;12,2
Bodø Vi;SN82290;23.02.2023;1,2;14,1
Bodø Vi;SN82290;24.02.2023;-0,3;10
Bodø Vi;SN82290;25.02.2023;1,6;7,7
Bodø Vi;SN82290;26.02.2023;3,6;12,3
Bodø Vi;SN82290;27.02.2023;4,4;14,1
Bodø Vi;SN82290;28.02.2023;3,2;9,4
Bodø Vi;SN82290;01.03.2023;4,8;13,2
Bodø Vi;SN82290;02.03.2023;2,3;15,6
Bodø Vi;SN82290;03.03.2023;-0,7;9,5
Bodø Vi;SN82290;04.03.2023;-1,4;11,6
Bodø Vi;SN82290;05.03.2023;-3,9;4,9
Bodø Vi;SN82290;06.03.2023;-6;6,5
Bodø Vi;SN82290;07.03.2023;-8,1;11,8
Bodø Vi;SN82290;08.03.2023;-9,4;13,5
Bodø Vi;SN82290;09.03.2023;-4,1;12,9
Bodø Vi;SN82290;10.03.2023;-3,4;10,3
Bodø Vi;SN82290;11.03.2023;-5,1;6,9
Bodø Vi;SN82290;12.03.2023;-3,4;8,9
Bodø Vi;SN82290;13.03.2023;-3,9;8,1
Bodø Vi;SN82290;14.03.2023;-6,4;7,8
Bodø Vi;SN82290;15.03.2023;-2,5;5,2
Bodø Vi;SN82290;16.03.2023;-2;6,4
Bodø Vi;SN82290;17.03.2023;-3,5;15,9
Bodø Vi;SN82290;18.03.2023;-1,2;14,9
Bodø Vi;SN82290;19.03.2023;-1,8;12
Bodø Vi;SN82290;20.03.2023;1;10,3
Bodø Vi;SN82290;21.03.2023;-0,4;14,2
Bodø Vi;SN82290;22.03.2023;-3,1;5,4
Bodø Vi;SN82290;23.03.2023;-4;11,9
Bodø Vi;SN82290;24.03.2023;-5,3;8
Bodø Vi;SN82290;25.03.2023;-4;5,7
Bodø Vi;SN82290;26.03.2023;-2,3;8,6
Bodø Vi;SN82290;27.03.2023;-4,6;6
Bodø Vi;SN82290;28.03.2023;-4,8;8,8
Bodø Vi;SN82290;29.03.2023;-5,6;8,2
Bodø Vi;SN82290;30.03.2023;-2,5;11
Bodø Vi;SN82290;31.03.2023;0,8;7,2
Bodø Vi;SN82290;01.04.2023;0,2;6,4
Bodø Vi;SN82290;02.04.2023;-1,1;7,6
Bodø Vi;SN82290;03.04.2023;1,8;10,6
Bodø Vi;SN82290;04.04.2023;3,7;8,2
Bodø Vi;SN82290;05.04.2023;5,5;7,3
Bodø Vi;SN82290;06.04.2023;6,3;8,5
Bodø Vi;SN82290;07.04.2023;4,1;8,1
Bodø Vi;SN82290;08.04.2023;3,7;12
Bodø Vi;SN82290;09.04.2023;5;6,7
Bodø Vi;SN82290;10.04.2023;6,1;8,8
Bodø Vi;SN82290;11.04.2023;6,5;12,9
Bodø Vi;SN82290;12.04.2023;8,4;12,5
Bodø Vi;SN82290;13.04.2023;8,1;13,7
Bodø Vi;SN82290;14.04.2023;5,7;16,9
Bodø Vi;SN82290;15.04.2023;6,6;12,4
Bodø Vi;SN82290;16.04.2023;5,8;7,8
Bodø Vi;SN82290;17.04.2023;6;8,6
Bodø Vi;SN82290;18.04.2023;7,4;6
Bodø Vi;SN82290;19.04.2023;6,7;12,3
Bodø Vi;SN82290;20.04.2023;6,5;12,4
Bodø Vi;SN82290;21.04.2023;5,9;11,8
Bodø Vi;SN82290;22.04.2023;1,5;12,2
Bodø Vi;SN82290;23.04.2023;-0,1;6,1
Bodø Vi;SN82290;24.04.2023;0,7;6,5
Bodø Vi;SN82290;25.04.2023;2,1;8,8
Bodø Vi;SN82290;26.04.2023;2,8;7,2
Bodø Vi;SN82290;27.04.2023;4,1;6,7
Bodø Vi;SN82290;28.04.2023;4,5;7,4
Bodø Vi;SN82290;29.04.2023;4;5,3
Bodø Vi;SN82290;30.04.2023;4;10,3
Bodø Vi;SN82290;01.05.2023;4,3;8,6
Bodø Vi;SN82290;02.05.2023;2,5;6,7
Bodø Vi;SN82290;03.05.2023;1,5;7,2
Bodø Vi;SN82290;04.05.2023;2,2;5,4
Bodø Vi;SN82290;05.05.2023;3,4;4,3
Bodø Vi;SN82290;06.05.2023;4,8;6,1
Bodø Vi;SN82290;07.05.2023;6;9,7
Bodø Vi;SN82290;08.05.2023;10,5;8,8
Bodø Vi;SN82290;09.05.2023;11,4;7,4
Bodø Vi;SN82290;10.05.2023;11;5,9
Bodø Vi;SN82290;11.05.2023;8;6,5
Bodø Vi;SN82290;12.05.2023;8,8;7,2
Bodø Vi;SN82290;13.05.2023;8,1;8,7
Bodø Vi;SN82290;14.05.2023;11,8;6,8
Bodø Vi;SN82290;15.05.2023;11,4;8,3
Bodø Vi;SN82290;16.05.2023;8,2;6,9
Bodø Vi;SN82290;17.05.2023;6,2;7,5
Bodø Vi;SN82290;18.05.2023;6,6;8,1
Bodø Vi;SN82290;19.05.2023;8,8;8,2
Bodø Vi;SN82290;20.05.2023;10,2;10
Bodø Vi;SN82290;21.05.2023;9,4;8,8
Bodø Vi;SN82290;22.05.2023;13,4;6,4
Bodø Vi;SN82290;23.05.2023;7,7;6
Bodø Vi;SN82290;24.05.2023;7,8;13,7
Bodø Vi;SN82290;25.05.2023;5,3;16,2
Bodø Vi;SN82290;26.05.2023;4,3;12,8
Bodø Vi;SN82290;27.05.2023;6,1;9,1
Bodø Vi;SN82290;28.05.2023;6,7;14,2
Bodø Vi;SN82290;29.05.2023;5,5;9,8
Bodø Vi;SN82290;30.05.2023;7;14,5
Bodø Vi;SN82290;31.05.2023;4,6;14,6
Bodø Vi;SN82290;01.06.2023;5,1;11,8
Bodø Vi;SN82290;02.06.2023;6;7,9
Bodø Vi;SN82290;03.06.2023;6,6;11,9
Bodø Vi;SN82290;04.06.2023;6,5;10,9
Bodø Vi;SN82290;05.06.2023;6,1;11,3
Bodø Vi;SN82290;06.06.2023;5,3;6,6
Bodø Vi;SN82290;07.06.2023;5,9;9,5
Bodø Vi;SN82290;08.06.2023;7,2;9,1
Bodø Vi;SN82290;09.06.2023;8,3;5,5
Bodø Vi;SN82290;10.06.2023;12,4;5
Bodø Vi;SN82290;11.06.2023;12,4;12,9
Bodø Vi;SN82290;12.06.2023;9,7;11,2
Bodø Vi;SN82290;13.06.2023;8,8;10,5
Bodø Vi;SN82290;14.06.2023;8,4;3,9
Bodø Vi;SN82290;15.06.2023;8,6;4,2
Bodø Vi;SN82290;16.06.2023;12,1;5,7
Bodø Vi;SN82290;17.06.2023;15,6;4
Bodø Vi;SN82290;18.06.2023;16,8;4,4
Bodø Vi;SN82290;19.06.2023;19,4;5,1
Bodø Vi;SN82290;20.06.2023;19;6,8
Bodø Vi;SN82290;21.06.2023;18,4;6
Bodø Vi;SN82290;22.06.2023;15,6;9,8
Bodø Vi;SN82290;23.06.2023;11,7;7,7
Bodø Vi;SN82290;24.06.2023;10,1;7,9
Bodø Vi;SN82290;25.06.2023;12,3;5,1
Bodø Vi;SN82290;26.06.2023;20,3;7,3
Bodø Vi;SN82290;27.06.2023;19,3;9,8
Bodø Vi;SN82290;28.06.2023;12,6;5,1
Bodø Vi;SN82290;29.06.2023;13,1;7,5
Bodø Vi;SN82290;30.06.2023;19,4;9,5
Bodø Vi;SN82290;01.07.2023;16,8;10,5
Bodø Vi;SN82290;02.07.2023;15,8;10,7
Bodø Vi;SN82290;03.07.2023;13,9;8,6
Bodø Vi;SN82290;04.07.2023;15,7;6,8
Bodø Vi;SN82290;05.07.2023;11,1;7,1
Bodø Vi;SN82290;06.07.2023;13,6;6,1
Bodø Vi;SN82290;07.07.2023;13,3;5,6
Bodø Vi;SN82290;08.07.2023;10,9;4,7
Bodø Vi;SN82290;09.07.2023;11;3,7
Bodø Vi;SN82290;10.07.2023;16,7;4,2
Bodø Vi;SN82290;11.07.2023;19,3;8,7
Bodø Vi;SN82290;12.07.2023;19,5;9,8
Bodø Vi;SN82290;13.07.2023;20,8;9,2
Bodø Vi;SN82290;14.07.2023;16,4;10
Bodø Vi;SN82290;15.07.2023;13,5;9,7
Bodø Vi;SN82290;16.07.2023;15,8;11,2
Bodø Vi;SN82290;17.07.2023;15,3;10,2
Bodø Vi;SN82290;18.07.2023;13,3;7,3
Bodø Vi;SN82290;19.07.2023;13,7;5,2
Bodø Vi;SN82290;20.07.2023;14,2;4,7
Bodø Vi;SN82290;21.07.2023;13,8;3,1
Bodø Vi;SN82290;22.07.2023;13,5;5,4
Bodø Vi;SN82290;23.07.2023;13,6;2,9
Bodø Vi;SN82290;24.07.2023;14,5;3,4
Bodø Vi;SN82290;25.07.2023;17,3;4,9
Bodø Vi;SN82290;26.07.2023;17,9;7,9
Bodø Vi;SN82290;27.07.2023;16,3;3,7
Bodø Vi;SN82290;28.07.2023;15,1;5,5
Bodø Vi;SN82290;29.07.2023;15,1;4,5
Bodø Vi;SN82290;30.07.2023;14,7;4,5
Bodø Vi;SN82290;31.07.2023;20,8;8,7
Bodø Vi;SN82290;01.08.2023;19,2;7,3
Bodø Vi;SN82290;02.08.2023;17,7;7,8
Bodø Vi;SN82290;03.08.2023;16,2;11,3
Bodø Vi;SN82290;04.08.2023;13,4;10,3
Bodø Vi;SN82290;05.08.2023;12,1;6,8
Bodø Vi;SN82290;06.08.2023;13,4;5,3
Bodø Vi;SN82290;07.08.2023;13,3;4
Bodø Vi;SN82290;08.08.2023;22,2;14,6
Bodø Vi;SN82290;09.08.2023;19,4;15,9
Bodø Vi;SN82290;10.08.2023;18;8,2
Bodø Vi;SN82290;11.08.2023;16,3;8,7
Bodø Vi;SN82290;12.08.2023;16,5;8,4
Bodø Vi;SN82290;13.08.2023;16,5;4,8
Bodø Vi;SN82290;14.08.2023;16,4;7
Bodø Vi;SN82290;15.08.2023;14,4;7,5
Bodø Vi;SN82290;16.08.2023;14,4;4,7
Bodø Vi;SN82290;17.08.2023;12,8;5,4
Bodø Vi;SN82290;18.08.2023;12,8;5,3
Bodø Vi;SN82290;19.08.2023;14,3;4,4
Bodø Vi;SN82290;20.08.2023;18,1;8,8
Bodø Vi;SN82290;21.08.2023;13,9;5,3
Bodø Vi;SN82290;22.08.2023;13,7;2,2
Bodø Vi;SN82290;23.08.2023;14,3;4,1
Bodø Vi;SN82290;24.08.2023;14,1;4,1
Bodø Vi;SN82290;25.08.2023;15;4,1
Bodø Vi;SN82290;26.08.2023;17,2;7
Bodø Vi;SN82290;27.08.2023;17,1;8,2
Bodø Vi;SN82290;28.08.2023;16,6;11,3
Bodø Vi;SN82290;29.08.2023;12,9;8,2
Bodø Vi;SN82290;30.08.2023;13,5;7,2
Bodø Vi;SN82290;31.08.2023;13,6;6
Bodø Vi;SN82290;01.09.2023;12,5;4,3
Bodø Vi;SN82290;02.09.2023;13,1;4,6
Bodø Vi;SN82290;03.09.2023;12,2;6
Bodø Vi;SN82290;04.09.2023;11,6;12,9
Bodø Vi;SN82290;05.09.2023;10,4;12
Bodø Vi;SN82290;06.09.2023;11,3;10,8
Bodø Vi;SN82290;07.09.2023;12,4;10,6
Bodø Vi;SN82290;08.09.2023;14,8;9,5
Bodø Vi;SN82290;09.09.2023;16,2;9,8
Bodø Vi;SN82290;10.09.2023;13;13,5
Bodø Vi;SN82290;11.09.2023;11,8;7,2
Bodø Vi;SN82290;12.09.2023;10,4;8,5
Bodø Vi;SN82290;13.09.2023;8,5;6,9
Bodø Vi;SN82290;14.09.2023;7,6;6,8
Bodø Vi;SN82290;15.09.2023;9,5;7,1
Bodø Vi;SN82290;16.09.2023;10;8,5
Bodø Vi;SN82290;17.09.2023;8,8;7
Bodø Vi;SN82290;18.09.2023;9,4;5,8
Bodø Vi;SN82290;19.09.2023;11;12,5
Bodø Vi;SN82290;20.09.2023;6,9;12,2
Bodø Vi;SN82290;21.09.2023;8,5;14,9
Bodø Vi;SN82290;22.09.2023;10,2;13,7
Bodø Vi;SN82290;23.09.2023;9,8;5,3
Bodø Vi;SN82290;24.09.2023;9;8,8
Bodø Vi;SN82290;25.09.2023;10,6;10,2
Bodø Vi;SN82290;26.09.2023;13,4;12
Bodø Vi;SN82290;27.09.2023;12,8;9,6
Bodø Vi;SN82290;28.09.2023;12,2;9,3
Bodø Vi;SN82290;29.09.2023;12,1;8,5
Bodø Vi;SN82290;30.09.2023;10,3;5,6
Bodø Vi;SN82290;01.10.2023;8,8;7,7
Bodø Vi;SN82290;02.10.2023;7,2;6,4
Bodø Vi;SN82290;03.10.2023;7,6;6,4
Bodø Vi;SN82290;04.10.2023;6,3;9,2
Bodø Vi;SN82290;05.10.2023;4,8;9
Bodø Vi;SN82290;06.10.2023;3,6;9,3
Bodø Vi;SN82290;07.10.2023;3,7;8
Bodø Vi;SN82290;08.10.2023;4,3;10,6
Bodø Vi;SN82290;09.10.2023;2,7;7,2
Bodø Vi;SN82290;10.10.2023;3,9;12,9
Bodø Vi;SN82290;11.10.2023;6,3;14,3
Bodø Vi;SN82290;12.10.2023;3,9;6,5
Bodø Vi;SN82290;13.10.2023;2,9;11,4
Bodø Vi;SN82290;14.10.2023;5,7;12,8
Bodø Vi;SN82290;15.10.2023;5,3;9,1
Bodø Vi;SN82290;16.10.2023;6;9,9
Bodø Vi;SN82290;17.10.2023;2,8;8,4
Bodø Vi;SN82290;18.10.2023;1,1;3,7
Bodø Vi;SN82290;19.10.2023;-0,1;7,5
Bodø Vi;SN82290;20.10.2023;-0,3;6,8
Bodø Vi;SN82290;21.10.2023;0,1;6,4
Bodø Vi;SN82290;22.10.2023;2,2;6,3
Bodø Vi;SN82290;23.10.2023;2,1;10,3
Bodø Vi;SN82290;24.10.2023;2,1;10
Bodø Vi;SN82290;25.10.2023;3,4;7,8
Bodø Vi;SN82290;26.10.2023;3;6,1
Bodø Vi;SN82290;27.10.2023;1,6;5,6
Bodø Vi;SN82290;28.10.2023;0,5;5,3
Bodø Vi;SN82290;29.10.2023;-1,6;5,9
Bodø Vi;SN82290;30.10.2023;-3,1;6,5
Bodø Vi;SN82290;31.10.2023;-2,7;7,2
Bodø Vi;SN82290;01.11.2023;-1,6;9,6
Bodø Vi;SN82290;02.11.2023;-0,7;11,5
Bodø Vi;SN82290;03.11.2023;-0,4;12,1
Bodø Vi;SN82290;04.11.2023;1,8;17,9
Bodø Vi;SN82290;05.11.2023;3,1;16,9
Bodø Vi;SN82290;06.11.2023;2,2;8,2
Bodø Vi;SN82290;07.11.2023;2,2;4,3
Bodø Vi;SN82290;08.11.2023;2,2;7,2
Bodø Vi;SN82290;09.11.2023;1,7;6,4
Bodø Vi;SN82290;10.11.2023;-1,5;5,9
Bodø Vi;SN82290;11.11.2023;-0,6;10
Bodø Vi;SN82290;12.11.2023;0,1;12,6
Bodø Vi;SN82290;13.11.2023;-2,2;10,9
Bodø Vi;SN82290;14.11.2023;-3,1;8,6
Bodø Vi;SN82290;15.11.2023;-5;8,2
Bodø Vi;SN82290;16.11.2023;-2,4;6,6
Bodø Vi;SN82290;17.11.2023;1,6;9,5
Bodø Vi;SN82290;18.11.2023;1,8;11,5
Bodø Vi;SN82290;19.11.2023;-1,5;5,2
Bodø Vi;SN82290;20.11.2023;-5,6;8,4
Bodø Vi;SN82290;21.11.2023;-5,5;7,8
Bodø Vi;SN82290;22.11.2023;0,8;12,8
Bodø Vi;SN82290;23.11.2023;1,7;6,5
Bodø Vi;SN82290;24.11.2023;0,6;10,1
Bodø Vi;SN82290;25.11.2023;-5,9;7,5
Bodø Vi;SN82290;26.11.2023;-4,7;5,7
Bodø Vi;SN82290;27.11.2023;-4,8;9,8
Bodø Vi;SN82290;28.11.2023;-5,5;8,9
Bodø Vi;SN82290;29.11.2023;-2,1;9,5
Bodø Vi;SN82290;30.11.2023;-4,1;8,7
Bodø Vi;SN82290;01.12.2023;-5,3;6,4
Bodø Vi;SN82290;02.12.2023;-6;6,8
Bodø Vi;SN82290;03.12.2023;-5,9;8,3
Bodø Vi;SN82290;04.12.2023;-5,1;7,4
Bodø Vi;SN82290;05.12.2023;-1,7;7,3
Bodø Vi;SN82290;06.12.2023;-4,3;11,7
Bodø Vi;SN82290;07.12.2023;-3,6;11,5
Bodø Vi;SN82290;08.12.2023;-2,1;12,3
Bodø Vi;SN82290;09.12.2023;-2,3;10,8
Bodø Vi;SN82290;10.12.2023;-2,2;10,5
Bodø Vi;SN82290;11.12.2023;-4,1;8,5
Bodø Vi;SN82290;13.12.2023;-4,4;10,8
Bodø Vi;SN82290;14.12.2023;-6;11,3
Bodø Vi;SN82290;15.12.2023;-2,9;13,1
Bodø Vi;SN82290;16.12.2023;2,7;13,7
Bodø Vi;SN82290;17.12.2023;3,7;17,7
Bodø Vi;SN82290;18.12.2023;4,1;16
Bodø Vi;SN82290;19.12.2023;3,1;11,9
Bodø Vi;SN82290;20.12.2023;-0,1;8,2
Bodø Vi;SN82290;21.12.2023;-1,5;8,8
Bodø Vi;SN82290;22.12.2023;-2,6;8,4
Bodø Vi;SN82290;23.12.2023;-4,8;11,1
Bodø Vi;SN82290;24.12.2023;-3,8;9,8
Bodø Vi;SN82290;25.12.2023;-1,3;11,1
Bodø Vi;SN82290;26.12.2023;-2,7;7,6
Bodø Vi;SN82290;27.12.2023;1,8;10,9
Bodø Vi;SN82290;28.12.2023;-0,9;8,9
Bodø Vi;SN82290;29.12.2023;-3;14,5
Bodø Vi;SN82290;30.12.2023;-4,9;13,4
Bodø Vi;SN82290;31.12.2023;-5,7;11,8
Bodø Vi;SN82290;12.12.2023;-;9,5
Data er gyldig per 20.02.2024 (CC BY 4.0), Meteorologisk institutt (MET);;;;
